sweep_k,sweep_v,seed,mode,final_frac_good,final_frac_bad,first_good_t,first_bad_t,mean_good_domain,mean_bad_domain,n_good_domains,n_bad_domains,out_dir
neg_mem_gain,neg_mem_gain=0p2,14,v9,0.00000000,0.81203125,-1,0,,5129.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,15,v9,0.00000000,0.81093750,14,1,,5130.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,16,v9,0.00000000,0.80625000,6,0,,5130.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,17,v9,0.00000000,0.81312500,1043,0,,5127.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,18,v9,0.00000000,0.82453125,8,0,,2577.500,0,2,
neg_mem_gain,neg_mem_gain=0p2,19,v9,0.00000000,0.82296875,18,0,,2573.500,0,2,
neg_mem_gain,neg_mem_gain=0p2,0,baseline,0.00000000,0.80750000,38,0,,5135.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,1,baseline,0.00000000,0.82406250,0,0,,5143.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,2,baseline,0.00000000,0.80625000,8,0,,5141.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,3,baseline,0.00000000,0.81843750,12,0,,5136.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,4,baseline,0.00000000,0.81109375,5,0,,5132.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,5,baseline,0.00000000,0.81656250,0,0,,5128.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,6,baseline,0.00000000,0.82718750,3,0,,5163.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,7,baseline,0.00000000,0.80953125,3,0,,5130.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,8,baseline,0.00000000,0.80859375,14,0,,2570.000,0,2,
neg_mem_gain,neg_mem_gain=0p2,9,baseline,0.00000000,0.81734375,16,0,,1723.667,0,3,
neg_mem_gain,neg_mem_gain=0p2,10,baseline,0.00000000,0.81343750,1,0,,5128.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,11,baseline,0.00000000,0.81156250,-1,1,,5120.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,12,baseline,0.00000000,0.81578125,1,0,,5123.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,13,baseline,0.00000000,0.80765625,7,0,,5138.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,14,baseline,0.00000000,0.81250000,-1,0,,5132.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,15,baseline,0.00000000,0.81125000,14,1,,5131.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,16,baseline,0.00000000,0.80703125,6,0,,5132.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,17,baseline,0.00000000,0.81453125,1043,0,,5135.000,0,1,
neg_mem_gain,neg_mem_gain=0p2,18,baseline,0.00000000,0.82546875,8,0,,2579.500,0,2,
neg_mem_gain,neg_mem_gain=0p2,19,baseline,0.00000000,0.82328125,18,0,,2574.500,0,2,
